""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"
"ENSMUSG00000031078"	2689.93445699059	-0.136704338450927	0.0337712153542962	-4.0479543604443	5.16672176483077e-05	0.0487303442240881	"Cttn"
"ENSMUSG00000031960"	2698.86493153033	0.136054097668676	0.033586827490867	4.05081717544392	5.10390749791032e-05	0.0487303442240881	"Aars1"
"ENSMUSG00000035357"	142.15308169629	0.423133646716592	0.102297934818628	4.13628728152526	3.52970251265951e-05	0.0479224377715484	"Pdzrn3"
"ENSMUSG00000037474"	19.957839809224	0.998823516680194	0.245012991098635	4.07661451828118	4.56961550079519e-05	0.0487303442240881	"Dtl"
"ENSMUSG00000037519"	695.941615504939	-0.269521242901042	0.0467205049451275	-5.76879987101146	7.9838047073041e-09	4.76899267849632e-05	"Ppfia1"
"ENSMUSG00000038530"	2373.08110605701	0.252728143670976	0.0511444305873355	4.94145972041689	7.75398369833614e-07	0.00347378469685459	"Rgs4"
"ENSMUSG00000045238"	66.3471059022211	-0.715041942408927	0.174110681550303	-4.10682409627087	4.0113647688238e-05	0.0479224377715484	NA
"ENSMUSG00000045648"	81.4354312308845	1.31738417161985	0.312122974265065	4.22072157527591	2.43521561865335e-05	0.0479224377715484	"Vwc2l"
"ENSMUSG00000046719"	147.307784960723	1.41025111255353	0.339266867959945	4.15676049074156	3.22792081453025e-05	0.0479224377715484	"Nxph3"
"ENSMUSG00000047557"	539.795651392841	0.279764473856443	0.0668849357326916	4.18277255994583	2.8797545140612e-05	0.0479224377715484	"Lxn"
"ENSMUSG00000048087"	109.131935517315	0.68317837262094	0.166223130019377	4.11000787039266	3.95645632191289e-05	0.0479224377715484	"Ahcyl"
"ENSMUSG00000048677"	43.1028509800432	-0.556362653898104	0.136666466171331	-4.07095222028075	4.68213531063077e-05	0.0487303442240881	"Tpcn2"
"ENSMUSG00000055065"	6286.98705127979	-0.0815315517696356	0.0183082711028492	-4.45326329895494	8.45749356409373e-06	0.02165118352408	"Ddx17"
"ENSMUSG00000057596"	30.6859034356313	-1.17583044406741	0.273459822186177	-4.2998288913787	1.70930032033119e-05	0.0382883271754188	"Trim30d"
"ENSMUSG00000066362"	395.074773565323	2.51900629879786	0.612429851698729	4.11313441337119	3.90322963642182e-05	0.0479224377715484	"Rps13-ps1"
"ENSMUSG00000070348"	815.826769913607	-1.16030475946802	0.0796611553076984	-14.5655025336532	4.65548420522862e-48	8.34262769576968e-44	"Ccnd1"
"ENSMUSG00000073705"	29.2833106557621	0.726324490068722	0.155887396239074	4.65928938189979	3.17302869075751e-06	0.00947677902306244	"Cenps"
"ENSMUSG00000091803"	217.614691372566	0.307721239142774	0.0657374182634496	4.68106669339444	2.85386069166424e-06	0.00947677902306244	"Cox16"
"ENSMUSG00000096999"	14.9596437906485	3.07368175608749	0.48156721474761	6.38266406424367	1.74033410663034e-10	1.55933935954079e-06	NA
