"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSMUSG00000000142",403.416326142453,-0.0499470281867512,0.0693999663530351,-0.719698161418012,0.471710858527017,0.913449166285298,"Axin2"
"ENSMUSG00000000148",311.93026531,-0.0507360998885379,0.0523584797033098,-0.969014000712681,0.332538203726614,0.872742327296561,"Brat1"
"ENSMUSG00000000149",1821.32089685913,-0.00123738406114224,0.0806579617442791,-0.0153411273280781,0.987760031474647,0.998858854604242,"Gna12"
"ENSMUSG00000000154",5.79532651060146,0.30562230129007,0.478325412595967,0.638942220592874,0.522860520423137,0.925258007862487,"Slc22a18"
"ENSMUSG00000000157",0.110581992546444,0.626711364484342,3.07195025348869,0.20401090928234,0.838344973820448,NA,"Itgb2l"
"ENSMUSG00000000159",3.19663107841722,-0.696204419842101,0.580399293016857,-1.19952665039149,0.230323228443802,NA,"Igsf5"
"ENSMUSG00000000167",30.2229927680451,0.0170335165123164,0.174805815182967,0.0974425049560712,0.922374991237905,0.99393676044246,"Pih1d2"
"ENSMUSG00000000168",1940.12554031161,0.014138546081456,0.054863041079725,0.257706204453931,0.796633657348792,0.974994496995087,"Dlat"
"ENSMUSG00000000171",1249.84929267782,0.0579301859155068,0.0503517070556736,1.15051086255037,0.249933522823605,0.845920667470488,"Sdhd"
"ENSMUSG00000000182",4.27363221242031,0.504788112418508,0.388080406292896,1.30073073577832,0.193350637791312,0.821121423583835,"Fgf23"
"ENSMUSG00000000184",2089.23338742172,-0.111888294625674,0.0814715952650844,-1.37334115358393,0.169646314512288,0.803399037013795,"Ccnd2"
"ENSMUSG00000000194",920.979486419719,-0.013061534368842,0.0409050889715731,-0.319313188095474,0.749489033085362,0.967425908595414,"Gpr107"
"ENSMUSG00000000197",1962.21911586019,0.0184508304394076,0.0683676659313483,0.269876559160803,0.787255221349699,0.973744724364067,"Nalcn"
"ENSMUSG00000000202",210.794870824294,0.0654819790609573,0.118457443698689,0.552789060918104,0.580407859939627,0.93993892011924,"Btbd17"
"ENSMUSG00000000204",0.180080789812633,-0.520882959788169,2.11096778506313,-0.246750785812012,0.805101100100651,NA,"Slfn4"
"ENSMUSG00000000214",4.90988363223471,0.211113399629506,0.555340294181225,0.380151416782685,0.703833020533049,0.96147947308677,"Th"
"ENSMUSG00000000215",0.41650831874528,-2.04132070949,1.40659060346384,-1.45125433403514,0.146709052199823,NA,"Ins2"
"ENSMUSG00000000216",2.92249220577315,0.357139764312527,0.541492074706835,0.659547537248598,0.509544230530153,NA,"Scnn1g"
"ENSMUSG00000000223",1272.02728866209,-0.01357399985331,0.0562937877760232,-0.241127847131499,0.809456030539323,0.977482660604125,"Drp2"
"ENSMUSG00000000244",2.19806882581287,-0.201075843167937,0.609729753057528,-0.329778630876433,0.741567235036341,NA,"Tspan32"
"ENSMUSG00000000247",1006.42856018234,-0.0605470333436729,0.0455607938009983,-1.32892841174216,0.183871589238897,0.812320772841066,"Lhx2"
"ENSMUSG00000000253",742.569426896714,0.151058957561639,0.0759030286359959,1.99015718181767,0.0465736234041973,0.704274481455808,"Gmpr"
"ENSMUSG00000000263",2.02874069275316,-1.2669916951585,0.790092559518027,-1.60359907190037,0.108802455459175,NA,"Glra1"
"ENSMUSG00000000266",445.193121833665,0.0190651570338602,0.0624693795176404,0.305192034578742,0.760219898689204,0.969793789934948,"Mid2"
"ENSMUSG00000000275",93.4213441927297,-0.133203140337526,0.163652830348943,-0.813937284515693,0.415680879956869,0.897160577606765,"Trim25"
"ENSMUSG00000000276",1485.0685139618,0.00463591995669052,0.0483385809719361,0.0959051727104275,0.923595886291771,0.994104047230977,"Dgke"
"ENSMUSG00000000278",182.602177049565,0.0941221204459912,0.0927694048250048,1.01458148431089,0.310305369137751,0.869666933526534,"Scpep1"
"ENSMUSG00000000282",682.815016661186,0.00840695824548386,0.0540576671229148,0.155518332420235,0.876412702585819,0.985371266499073,"Mnt"
"ENSMUSG00000000290",99.0817190100029,0.0411278769579217,0.11504693452242,0.357487812505831,0.720726648457791,0.964197203461262,"Itgb2"
"ENSMUSG00000000295",141.839533462951,0.0634413714175883,0.105077274534309,0.603759201965917,0.546003747501198,0.93361483764959,"Hddc2"
"ENSMUSG00000000296",355.808145535399,-0.0832690353623587,0.068273366366254,-1.21964156440829,0.222600782634286,0.834033967672774,"Tpd52l1"
"ENSMUSG00000000301",20.8600969124122,0.209204301723386,0.186425237924602,1.12218873395241,0.261782201749814,0.850297774451705,"Pemt"
"ENSMUSG00000000303",15.7395787000998,0.284477193158955,0.994484396520399,0.286054958885542,0.774836028272146,0.972326318222341,"Cdh1"
"ENSMUSG00000000305",193.735898862219,0.118521601899316,0.137055039738761,0.864773758960111,0.387162976591029,0.891927223858108,"Cdh4"
"ENSMUSG00000000308",2881.90789253891,0.154825910482494,0.0580533125837282,2.66696082603717,0.00765405929201629,0.487652387676142,"Ckmt1"
"ENSMUSG00000000317",22.8779913746381,0.162083789274218,0.24013315278787,0.67497464382771,0.499691874729148,0.921087363597597,"Bcl6b"
"ENSMUSG00000000318",6.70995547555468,-0.51042906690546,0.441070620298981,-1.15725020759593,0.247170150263239,0.845920667470488,"Clec10a"
"ENSMUSG00000000320",4.57039381192703,0.142445199457469,0.415076085195664,0.343178526872541,0.731464157931538,0.96705729027985,"Alox12"
"ENSMUSG00000000325",665.62544007336,-0.132712296424395,0.0359679176435383,-3.68974088907916,0.000224482577566695,0.117221088974199,NA
"ENSMUSG00000000326",941.590774669603,0.0259710024511279,0.061455766259759,0.422596674514717,0.672589553306842,0.955545521539016,"Comt"
"ENSMUSG00000000339",633.009935164187,0.0366245245232773,0.0497983869440166,0.735456041265967,0.462061802333114,0.911754918957569,"Rtca"
"ENSMUSG00000000340",420.746566696013,-0.0392226020272501,0.0583053593296728,-0.672710064360907,0.501131763470193,0.921087363597597,"Dbt"
"ENSMUSG00000000346",1788.38420195128,0.0547847112874875,0.0529854927636925,1.03395681402491,0.301156352856541,0.865275267466605,"Dazap2"
"ENSMUSG00000000355",544.12371520334,-0.00210299227757882,0.0679468506024247,-0.0309505482437146,0.975308977542556,0.998858854604242,"Mcts1"
"ENSMUSG00000000359",3.48357660762673,-0.332369507658659,0.527013347589909,-0.630666204525221,0.528258800781801,NA,"Rem1"
"ENSMUSG00000000365",17.4521911588127,-0.170156703851134,0.26178687968869,-0.649981786915677,0.515703986327008,0.923742666258517,"Rnf17"
"ENSMUSG00000000374",1716.26048969056,-0.0487734773718223,0.0425615907606109,-1.14595052722889,0.251815622899763,0.845920667470488,"Trappc10"
"ENSMUSG00000000378",580.02397518709,0.0472049016086788,0.0526360603351591,0.896816769874159,0.369816697919143,0.88367442042188,"Ccm2"
"ENSMUSG00000000381",0.217703827159082,0.72673534141259,2.4956075795275,0.291205775849657,0.770893945423511,NA,"Wap"
"ENSMUSG00000000384",376.677015546448,0.0048165365928061,0.0499952816841797,0.0963398230903503,0.923250683911036,0.994104047230977,"Tbrg4"
"ENSMUSG00000000385",1.48349622895393,-0.138666122659317,0.714627196880847,-0.194039806019917,0.846144713497556,NA,"Tmprss2"
"ENSMUSG00000000386",3.17659345998949,-1.24381322253911,0.639511116660959,-1.94494386435901,0.0517817349221965,NA,"Mx1"
"ENSMUSG00000000392",4.87172862409206,0.191347462236718,0.406970488546125,0.470175277131995,0.638229795862759,0.95274345259488,"Fap"
"ENSMUSG00000000399",1508.72963989287,0.0423299082962546,0.0480924382999172,0.880178044462502,0.37876286544898,0.88767629383618,"Ndufa9"
"ENSMUSG00000000402",53.8343673876355,-0.0954967109826608,0.120304737579609,-0.793790110879616,0.427317630653874,0.90045259310681,"Egfl6"
"ENSMUSG00000000409",20.8550938828328,0.00999199041085171,0.175093604378237,0.0570665641748228,0.954492170924016,0.997423206833993,"Lck"
"ENSMUSG00000000411",0.627337833524862,0.331189599577551,1.06011561954382,0.312408942451075,0.754729755143557,NA,"Tssk3"
"ENSMUSG00000000416",3866.57396836104,-0.0297686900828541,0.0888365153451415,-0.335095202318539,0.737553271854745,0.96705729027985,"Cttnbp2"
"ENSMUSG00000000420",918.097747131787,0.0335917336553425,0.0448034124811845,0.749758373191987,0.453400243692222,0.910541546861763,"Galnt1"
